Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCLC,HistDist,LastDist
NFPine_mineral,A,mineral,YC12_20,False,0,2942799.9999999995,0,2,DISTID5,DISTID5
NFPine_mineral,A,mineral,YC4_12,False,0,0.0,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC4_12,False,0,1568399.9999999998,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC13_16,False,0,1866800.0,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC17_20,False,0,10018000.0,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC20_24,False,0,238326004.65125272,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC24_30,False,0,456359058.3252966,0,2,DISTID5,DISTID5
NFSGB_mineral,A,mineral,YC6,False,0,1077486011.708662,0,2,DISTID5,DISTID5
NFFGB_mineral,A,mineral,YC6,False,0,10899999.999999998,0,2,DISTID5,DISTID5
NFCBmix_mineral,A,mineral,YC10,False,0,9005300.0,0,2,DISTID5,DISTID5
NFOC_mineral,A,mineral,YC10,False,0,17816800.000000004,0,2,DISTID5,DISTID5
NFPine_peat,A,peat,YC12_20,False,0,28803.200000000004,0,2,DISTID5,DISTID5
NFPine_peat,A,peat,YC4_12,False,0,13601.6,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC4_12,False,0,30731.6,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC13_16,False,0,26880.000000000004,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC17_20,False,0,59306.399999999994,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC20_24,False,0,74157.59999999999,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC24_30,False,0,45179.2,0,2,DISTID5,DISTID5
NFSGB_peat,A,peat,YC6,False,0,0.0,0,2,DISTID5,DISTID5
NFFGB_peat,A,peat,YC6,False,0,13204.800000000001,0,2,DISTID5,DISTID5
NFCBmix_peat,A,peat,YC10,False,0,8882.400000000001,0,2,DISTID5,DISTID5
NFOC_peat,A,peat,YC10,False,0,47271.19999999999,0,2,DISTID5,DISTID5
